iter	Logloss
0	0.6489142497
1	0.6101287386
2	0.5853895172
3	0.5613577005
4	0.5440451571
5	0.5283610725
6	0.5145527715
7	0.503878117
8	0.496364139
9	0.4894296276
10	0.4792511756
11	0.4740797368
12	0.4680607563
13	0.4630420746
14	0.459072604
15	0.454191698
16	0.4495607214
17	0.4470246629
18	0.4449162691
19	0.4423093439
20	0.4393263091
21	0.4364910257
22	0.4331976769
23	0.4308343652
24	0.4289966863
25	0.4268392346
26	0.4250178904
27	0.4226304077
28	0.4211139497
29	0.4197630199
30	0.4184140684
31	0.4156617421
32	0.4144909249
33	0.4127553215
34	0.4113835277
35	0.410573718
36	0.409022131
37	0.4082420912
38	0.4067548184
39	0.4052904873
40	0.4042343774
41	0.401229065
42	0.4007940122
43	0.3995788477
44	0.3986053374
45	0.3958491104
46	0.3950093083
47	0.3943092909
48	0.3936187437
49	0.3924087003
50	0.391946745
51	0.3908984288
52	0.3897066321
53	0.3883798575
54	0.3877305507
55	0.3872691362
56	0.3867045918
57	0.3852947796
58	0.384610041
59	0.3842329996
60	0.3831392261
61	0.3825327438
62	0.3821765497
63	0.3818196561
64	0.3812385251
65	0.3806259642
66	0.379910082
67	0.3794007532
68	0.3788813776
69	0.3786466501
70	0.3781755491
71	0.376526055
72	0.3757037068
73	0.3753443896
74	0.3746705116
75	0.3740854849
76	0.3735096474
77	0.3718519063
78	0.3710976275
79	0.3706442564
80	0.3701250727
81	0.3696519227
82	0.3685663866
83	0.3681352431
84	0.3677066347
85	0.3671417268
86	0.3666108998
87	0.3660226967
88	0.3654479117
89	0.3649405958
90	0.364490346
91	0.3640229754
92	0.3634345433
93	0.3628571808
94	0.3623054635
95	0.3616991533
96	0.3611832004
97	0.3607206915
98	0.3602395949
99	0.3597055431
100	0.3593282382
101	0.358370779
102	0.357880366
103	0.3576372443
104	0.357314566
105	0.3566450453
106	0.3560517245
107	0.3554975721
108	0.3550429513
109	0.354827627
110	0.354266218
111	0.3537260415
112	0.3531703345
113	0.3528492286
114	0.3523266619
115	0.3521653209
116	0.3518308472
117	0.3513571725
118	0.3511347335
119	0.3506279489
120	0.3502790491
121	0.3496829876
122	0.3491965562
123	0.3488006134
124	0.348433793
125	0.3480380787
126	0.3476924802
127	0.3471993531
128	0.3468747987
129	0.346700591
130	0.346120624
131	0.3457611955
132	0.3454509248
133	0.3450659513
134	0.3445104071
135	0.3439890609
136	0.3436381904
137	0.3434120274
138	0.3430928996
139	0.3426083919
140	0.3421488061
141	0.3418360128
142	0.3416482066
143	0.3411132426
144	0.3406135444
145	0.3402031834
146	0.3389457931
147	0.3384336242
148	0.3380692817
149	0.3378720046
150	0.3374262611
151	0.3370468729
152	0.3365524833
153	0.3360771519
154	0.3355841018
155	0.3351764134
156	0.3348316478
157	0.3343571238
158	0.3340378718
159	0.3334000566
160	0.3331883249
161	0.3325707567
162	0.3320882427
163	0.3318482823
164	0.3313579999
165	0.3311130097
166	0.3306952521
167	0.3302210065
168	0.330047236
169	0.3297363805
170	0.3292663682
171	0.3287923674
172	0.3285086346
173	0.3283043295
174	0.3280402009
175	0.3277959219
176	0.3275341216
177	0.3271969313
178	0.326668097
179	0.3263019068
180	0.3259203676
181	0.3254132215
182	0.3249604867
183	0.32452161
184	0.3240928479
185	0.3237262737
186	0.3234228057
187	0.3231383687
188	0.3226670364
189	0.3223196982
190	0.3222331893
191	0.3217187955
192	0.3214259241
193	0.3210372661
194	0.3207110153
195	0.3203534756
196	0.3198248891
197	0.3195427332
198	0.3189863283
199	0.3186351859
200	0.3183546465
201	0.3180094219
202	0.3176652332
203	0.317334966
204	0.3169759575
205	0.3163987576
206	0.316174655
207	0.3159306534
208	0.315653638
209	0.3154543888
210	0.3153059293
211	0.3149746222
212	0.3143485318
213	0.3140334361
214	0.3137199199
215	0.3133914037
216	0.3131174195
217	0.3128660761
218	0.3125601875
219	0.3123160029
220	0.3122026969
221	0.3117678882
222	0.3113226226
223	0.3111256305
224	0.3108543007
225	0.3105793769
226	0.3100174594
227	0.3097955164
228	0.3093941742
229	0.3091402256
230	0.3087830075
231	0.3084176449
232	0.3081071745
233	0.3077307236
234	0.3076504513
235	0.3073358473
236	0.3070620187
237	0.3064632023
238	0.3062283662
239	0.3058838438
240	0.3054004137
241	0.3051853116
242	0.3048929079
243	0.3048406953
244	0.3045764126
245	0.3041642874
246	0.3038271524
247	0.3028540715
248	0.3025526222
249	0.3020430642
250	0.3018755535
251	0.3017091768
252	0.3013923026
253	0.3011549885
254	0.3008131166
255	0.3005329827
256	0.3003315341
257	0.3000838739
258	0.2997332103
259	0.2994236495
260	0.2992331989
261	0.298874357
262	0.2985083909
263	0.2982135937
264	0.2979534561
265	0.297814799
266	0.2976187906
267	0.2972753496
268	0.2970840975
269	0.2967568944
270	0.2965741215
271	0.2963557474
272	0.2961255389
273	0.2959094542
274	0.2955621985
275	0.2953043014
276	0.2950497818
277	0.2947768078
278	0.2945298241
279	0.2942909657
280	0.2939427472
281	0.2936135503
282	0.293455397
283	0.2932079543
284	0.2928862556
285	0.2926685943
286	0.2924409603
287	0.29237756
288	0.2920645976
289	0.2917949442
290	0.2914369056
291	0.2911207944
292	0.2908905231
293	0.2906932767
294	0.2905800588
295	0.2902238815
296	0.289986522
297	0.289728596
298	0.2896180474
299	0.2893597454
300	0.2893250123
301	0.2890862005
302	0.2887331399
303	0.2883893351
304	0.2880828526
305	0.2877963301
306	0.287424551
307	0.2871744134
308	0.2869701894
309	0.2865286294
310	0.2861280788
311	0.2858777832
312	0.2855074863
313	0.2851991735
314	0.2849357398
315	0.2847079033
316	0.2844689573
317	0.284274624
318	0.2839327637
319	0.2836239563
320	0.283578812
321	0.2835191232
322	0.2832573236
323	0.282920835
324	0.2826661529
325	0.2826342573
326	0.2818687344
327	0.2818503698
328	0.281510101
329	0.2813806859
330	0.2810932286
331	0.2808705453
332	0.2804986366
333	0.2802111086
334	0.2799239359
335	0.2796105465
336	0.2794350283
337	0.2792135018
338	0.2791553306
339	0.2788338462
340	0.27852576
341	0.278381951
342	0.2781197435
343	0.2779084821
344	0.2776422884
345	0.2773594766
346	0.2770739963
347	0.2769058238
348	0.2766351382
349	0.2764498781
350	0.2762167452
351	0.2760118332
352	0.2757271571
353	0.2754099883
354	0.2752808947
355	0.2750665875
356	0.2749443813
357	0.2746739207
358	0.2745870921
359	0.2742209821
360	0.2739342325
361	0.2736278802
362	0.2733261343
363	0.2729623999
364	0.2725898225
365	0.2722951361
366	0.2720240931
367	0.2718985233
368	0.2716862909
369	0.2714880955
370	0.2712563152
371	0.2712479872
372	0.2708699861
373	0.2707596567
374	0.2705629578
375	0.270289241
376	0.2700268862
377	0.2698737837
378	0.2696487328
379	0.2694472144
380	0.2691257162
381	0.2689701435
382	0.2683122407
383	0.2680732377
384	0.2678035003
385	0.2675816558
386	0.2674051085
387	0.2671384344
388	0.2669180264
389	0.2666900861
390	0.2665288641
391	0.2663359781
392	0.266022432
393	0.2657440976
394	0.2654861708
395	0.2652805196
396	0.2650768259
397	0.2649731048
398	0.2648929197
399	0.2646700913
400	0.26430582
401	0.2641260263
402	0.2637085165
403	0.2634904783
404	0.2634409146
405	0.2632594752
406	0.2630897938
407	0.2627604987
408	0.2624777269
409	0.2623019255
410	0.2621725841
411	0.2618755384
412	0.2615838918
413	0.2614536741
414	0.2612649662
415	0.260974521
416	0.2607939435
417	0.2606461846
418	0.2604569515
419	0.2602213322
420	0.2600188958
421	0.2599854428
422	0.2599033315
423	0.2597274302
424	0.2594780322
425	0.259265541
426	0.2589189672
427	0.2586996697
428	0.2585159641
429	0.2582586748
430	0.2580265393
431	0.2577915587
432	0.2575822347
433	0.2572450766
434	0.2570866103
435	0.2568593701
436	0.2566376293
437	0.2562390781
438	0.2559661221
439	0.2558446754
440	0.2556275104
441	0.2554282773
