iter	Passed	Remaining
0	2	295
1	5	289
2	9	305
3	12	303
4	15	296
5	18	288
6	21	283
7	24	278
8	26	271
9	29	265
10	32	259
11	34	255
12	37	251
13	40	246
14	42	242
15	45	238
16	47	234
17	50	230
18	53	226
19	56	224
20	59	222
21	62	220
22	64	217
23	67	214
24	70	212
25	73	209
26	76	207
27	79	204
28	83	203
29	85	200
30	88	197
31	91	194
32	93	190
33	96	187
34	99	185
35	102	182
36	105	179
37	107	175
38	110	172
39	112	169
40	115	166
41	118	163
42	120	160
43	123	157
44	126	154
45	128	151
46	131	148
47	134	145
48	136	142
49	139	139
50	142	136
51	144	133
52	147	130
53	150	127
54	152	124
55	155	122
56	158	119
57	160	116
58	163	113
59	166	110
60	168	108
61	171	105
62	174	102
63	176	99
64	179	96
65	182	93
66	184	91
67	187	88
68	190	85
69	192	82
70	195	79
71	198	77
72	201	74
73	203	71
74	206	68
75	209	66
76	211	63
77	214	60
78	217	57
79	220	55
80	223	52
81	226	49
82	228	46
83	231	44
84	234	41
85	237	38
86	240	35
87	243	33
88	246	30
89	249	27
90	251	24
91	254	22
92	257	19
93	260	16
94	262	13
95	265	11
96	268	8
97	270	5
98	273	2
99	276	0
